Business Type,Business Name,Location Address Line 1,Location Address Line 2,Location City,Location State,Location Zip,Location County,VoicePhone,EmailAddress,RPLastName,RPFirstName,RPMiddleName,RPSuffix,RPEmail,Dispenses Naloxone,CredentialStatus,CredentialStatusReason,License Number,Subcategory Code,Location Address Line 3,LocationLat,LocationLong,MailingAddressLine1,MailingAddressLine2,MailingAddressLine3,MailingCity,MailingState,MailingZip,FaxPhone,License Prefix,Ohio Drug Category,Business Type,PracticeTypeDescription,DateofFirstLicensure,EffectiveDate,ExpirationDate,LegalFiles,RPCredentialTypePrefix,FacilityID,StateID,Abbreviation,MedicareID,MedicaidID,ClosedDate,LicensedBedTotal,OpenDate,BedEffectiveDate,CertifiedBedTotal,SortOrder,HC_Name,HC_Phone,HC_Email,MD_Name,MD_Phone,MD_Email,AD_Name,AD_Phone,AD_Email,EHD_Name,EHD_Phone,EHD_Email,ND_Name,ND_Phone,ND_Email,VS_Name,VS_Phone,VS_Email,FO_Name,FO_Phone,FO_Email,PIO_Name,PIO_Phone,PIO_Email,EPI_Name,EPI_Phone,EPI_Email,ERC_Name,ERC_Phone,ERC_Email,AHC_Name,AHC_Phone,AHC_Email,DHC_Name,DHC_Phone,DHC_Email,DR_Name,DR_Phone,DR_Email,AC_Name,AC_Phone,AC_Email,HE_Name,HE_Phone,HE_Email,Population,LHDId,Business Type Category  ,Hospital Type ,NATCEP Type ,LHDType,LHDCountyCity,LHDStatus,LHDDistrict,ContractingWith,Website,BusinessTypeCategoryDesc,HospitalTypeDesc,NATCEPTypeDesc,Data Source,CombinedWith,LHDIdOld,Active Facility
MedicalFacility,PROCTER AND GAMBLE COMPANY VIBRANT LIVING HEALTH CENTER,1 Procter And Gamble Plz,,Cincinnati,OH,45202,Hamilton,(513) 885-5436,stout.r@pg.com,Stout,Ronald,Wayne,,stout.r@att.net,FALSE,Active,,20052450,,,39.102946,-84.507396,ONE PROCTER AND GAMBLE PLAZA, C-1,,CINCINNATI,OH,45202,(513) 277-2282,FCY,Facility - LIMITED Category 3,FA ,Company,12/18/61,4/1/19,3/31/21,No,,,,,,,,,,,,1021267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,First Aid Dept,,,PharmacyBoard,,,TRUE
UrgentCare,THE LITTLE CLINIC OF OHIO LLC,1 W Corry St,,Cincinnati,OH,45219,Hamilton,(615) 425-4228,bstewart@thelittleclinic.com,Keller,Andrea,,,andrea.keller@thelittleclinic.com,FALSE,Active,,22683100,,,39.12898,-84.509815,2620 ELM HILL PIKE,,,NASHVILLE,TN,37214,(513) 872-1531,CL,Clinic - Category 2,UR ,Limited Liability Company,2/2/17,4/1/19,3/31/21,No,,,,,,,,,,,,1025554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,,,,,,,,,Urgent Care,,,PharmacyBoard,,,TRUE
MedicalFacility,GOOD SAMARITAN HOSPITAL - TRIHEALTH EVENT MEDICINE,100 Joe Nuxhall Way,,Cincinnati,OH,45202,Hamilton,(513) 504-1323,douglas_harris@trihealth.com,PANGALOS,VINCENT,T.,MD,,FALSE,Active,,22782050,,,39.096183,-84.508185,100 JOE NUXHALL WAY,,,CINCINNATI,OH,45202,(513) 862-4944,FCY,Facility - LIMITED Category 2,FA ,Corporation,8/16/17,4/1/19,3/31/21,No,,,,,,,,,,,,1010535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,First Aid Dept,,,PharmacyBoard,,,TRUE
MedicalFacility,WALNUT STREET HEALTH CENTER,1005 Walnut St,,Cincinnati,OH,45202,Hamilton,513-357-7293,geneva.goode@cincinnati-oh.gov,Gonzales,Yury,Raul,,yuryrgonzales@gmail.com,FALSE,Active,,22532700,,,39.106734,-84.512886,1005 WALNUT STREET,,,CINCINNATI,OH,45202,(513) 381-1865,CL,Clinic - Category 2,CL ,Company,7/9/15,4/1/19,3/31/21,No,,,,,,,,,,,,1028456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,Clinic,,,PharmacyBoard,,,TRUE
NursingAssisted,"SHAWNEESPRING HEALTH CARE CENTER, LLC",10111 SIMONSON ROAD,,HARRISON,OH,45030,HAMILTON,(513)367-7780,roxann.tillinghast@carespring.com,,,,,,FALSE,ACTIVE,,OH03933,,,39.236624,-84.7798,,,,,,,(513) 367-7781,,,21,,,,,,,OH03933,2438N,SNF/NF,366320,2618635,,140,1/25/06,1/1/07,140,2023492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,Nursing Home (Certified and Licensed),,,OHAL,,,TRUE
MedicalFacility,THE LITTLE CLINIC,1014 Vine St,,Cincinnati,OH,45202,Hamilton,615-425-4228,kniehaus@thelittleclinic.com,STEWART,BONNIE,,APRN,,FALSE,Active,,22662450,,,39.106698,-84.514184,2620 ELM HILL PIKE,,,NASHVILLE,TN,37214,(513) 698-1810,CL,Clinic - Category 2,CL ,Limited Liability Company,10/28/16,4/1/19,3/31/21,No,,,,,,,,,,,,1025516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,Clinic,,,PharmacyBoard,,,TRUE
MedicalFacility,FORMICA CORPORATION MEDICAL DIRECTOR,10155 Reading Rd,,Cincinnati,OH,45241,Hamilton,(513) 977-2131,kelly_adkins@trihealth.com,HENKE,TIMOTHY,,MD,,FALSE,Active,,20058050,,,39.245273,-84.427124,10155 READING ROAD,,,CINCINNATI,OH,45241,(513) 852-7436,FCY,Facility - LIMITED Category 2,FA ,Company,1/4/62,4/1/19,3/31/21,No,,,,,,,,,,,,1009543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,First Aid Dept,,,PharmacyBoard,,,TRUE
MedicalFacility,PASSPORT HEALTH,10274 Alliance Rd,,Blue Ash,OH,45242,Hamilton,(513) 891-3093,passport.cinci@fuse.net,TIPPETT,ALETHA,W.,MD,,FALSE,Active,,21343800,,,39.248944,-84.379695,10274 ALLIANCE ROAD,,,CINCINNATI,OH,45242,(513) 891-9947,CL,Clinic - Category 2,CL ,Limited Liability Company,11/1/02,4/1/19,3/31/21,No,,,,,,,,,,,,1020083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,Clinic,,,PharmacyBoard,,,TRUE
Hospice,"VIAQUEST HOSPICE, LLC",10296 SPRINGFIELD PIKE,,CINCINNATI,OH,45215,HAMILTON,(614)339-8436, ashley.bell@viaquestinc.com,,,,,,FALSE,ACTIVE,,OHL41539,,,39.255737,-84.469769,,,,,,,(614) 339-8616,,,L31,,,,,,,OHL41539,0202HSP,SL-HOS,,,,,6/20/11,,,2027801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,Hospice,,,OHAL,,,TRUE
UrgentCare,MERCY FRANCISCAN MEDI-CTR HARRISON,10450 New Haven Rd,,Harrison,OH,45030,Hamilton,(513) 215-0830,tkash@mercy.com,ASH,TERESA,KAY,RPH,tkash@mercy.com,TRUE,Active,,20608950,,,39.262138,-84.789973,3300 Mercy Health Blvd,,,Cincinnati,OH,45211,,CL,Clinic - Category 3,ED ,Company,2/16/90,4/1/19,3/31/21,No,,,,,,,,,,,,1015944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,,,,,,,,Free Standing Hospital Emergency Department,,,PharmacyBoard,,,TRUE
